Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Event,Mode,Message,Start Time,End Time,Duration (min),Distance (m)
1812,2022-10-01 05:02:00,true,110,50000.0,3.0555555555555554,40,package3996,END: generated,0,nil,00:00:00,05:02:00,302.0,0.0
1813,2022-10-01 05:02:10,true,110,50000.0,3.0555555555555554,40,package3996,START: requestingDeliveryMode,nil
1813,2022-10-01 05:02:10,true,110,50000.0,3.0555555555555554,40,package3996,END: requestingDeliveryMode,0,nil,05:02:10,05:02:10,0.0,0.0
1814,2022-10-01 05:02:20,true,110,50000.0,3.0555555555555554,40,package3996,START: unserved,nil
1848,2022-10-01 05:08:00,true,110,50000.0,3.0555555555555554,40,package7986,END: generated,0,nil,00:00:00,05:08:00,308.0,0.0
1849,2022-10-01 05:08:10,true,110,50000.0,3.0555555555555554,40,package7986,START: requestingDeliveryMode,nil
1849,2022-10-01 05:08:10,true,110,50000.0,3.0555555555555554,40,package7986,END: requestingDeliveryMode,0,nil,05:08:10,05:08:10,0.0,0.0
1850,2022-10-01 05:08:20,true,110,50000.0,3.0555555555555554,40,package7986,START: unserved,nil
1920,2022-10-01 05:20:00,true,110,50000.0,3.0555555555555554,40,package9,END: generated,0,nil,00:00:00,05:20:00,320.0,0.0
1921,2022-10-01 05:20:10,true,110,50000.0,3.0555555555555554,40,package9,START: requestingDeliveryMode,nil
1921,2022-10-01 05:20:10,true,110,50000.0,3.0555555555555554,40,package9,END: requestingDeliveryMode,0,nil,05:20:10,05:20:10,0.0,0.0
1922,2022-10-01 05:20:20,true,110,50000.0,3.0555555555555554,40,package9,START: firstmile,nil
1924,2022-10-01 05:20:40,true,110,50000.0,3.0555555555555554,40,package9,END: firstmile,0,nil,05:20:20,05:20:40,0.3333333333333333,25.776107647520057
1925,2022-10-01 05:20:50,true,110,50000.0,3.0555555555555554,40,package9,START: awaiting_car,awaiting car(13)
1928,2022-10-01 05:21:20,true,110,50000.0,3.0555555555555554,40,package9,END: awaiting_car,0,nil,05:20:50,05:21:20,0.5,0.0
1929,2022-10-01 05:21:30,true,110,50000.0,3.0555555555555554,40,package9,START: delivering_car,delivering car(13)
1934,2022-10-01 05:22:20,true,110,50000.0,3.0555555555555554,40,package9,END: delivering_car,2,nil,05:21:30,05:22:20,0.8333333333333334,286.06865157906503
1935,2022-10-01 05:22:30,true,110,50000.0,3.0555555555555554,40,package9,START: lastmile,nil
1938,2022-10-01 05:23:00,true,110,50000.0,3.0555555555555554,40,package3999,END: generated,0,nil,00:00:00,05:23:00,323.0,0.0
1939,2022-10-01 05:23:10,true,110,50000.0,3.0555555555555554,40,package9,END: lastmile,2,nil,05:22:30,05:23:10,0.6666666666666666,50.31298687880129
1939,2022-10-01 05:23:10,true,110,50000.0,3.0555555555555554,40,package3999,START: requestingDeliveryMode,nil
1939,2022-10-01 05:23:10,true,110,50000.0,3.0555555555555554,40,package3999,END: requestingDeliveryMode,0,nil,05:23:10,05:23:10,0.0,0.0
1940,2022-10-01 05:23:20,true,110,50000.0,3.0555555555555554,40,package9,START: delivered,nil
1940,2022-10-01 05:23:20,true,110,50000.0,3.0555555555555554,40,package3999,START: firstmile,nil
1950,2022-10-01 05:25:00,true,110,50000.0,3.0555555555555554,40,package3999,END: firstmile,0,nil,05:23:20,05:25:00,1.6666666666666667,125.82135916619146
1951,2022-10-01 05:25:10,true,110,50000.0,3.0555555555555554,40,package3999,START: awaiting_car,awaiting car(38)
1951,2022-10-01 05:25:10,true,110,50000.0,3.0555555555555554,40,package3999,END: awaiting_car,0,nil,05:25:10,05:25:10,0.0,0.0
1952,2022-10-01 05:25:20,true,110,50000.0,3.0555555555555554,40,package3999,START: delivering_car,delivering car(38)
1954,2022-10-01 05:25:40,true,110,50000.0,3.0555555555555554,40,package3999,END: delivering_car,2,nil,05:25:20,05:25:40,0.3333333333333333,146.33076379581127
1955,2022-10-01 05:25:50,true,110,50000.0,3.0555555555555554,40,package3999,START: lastmile,nil
1963,2022-10-01 05:27:10,true,110,50000.0,3.0555555555555554,40,package3999,END: lastmile,2,nil,05:25:50,05:27:10,1.3333333333333333,81.32597443515944
1964,2022-10-01 05:27:20,true,110,50000.0,3.0555555555555554,40,package3999,START: delivered,nil
1968,2022-10-01 05:28:00,true,110,50000.0,3.0555555555555554,40,package7989,END: generated,0,nil,00:00:00,05:28:00,328.0,0.0
1969,2022-10-01 05:28:10,true,110,50000.0,3.0555555555555554,40,package7989,START: requestingDeliveryMode,nil
1969,2022-10-01 05:28:10,true,110,50000.0,3.0555555555555554,40,package7989,END: requestingDeliveryMode,0,nil,05:28:10,05:28:10,0.0,0.0
1970,2022-10-01 05:28:20,true,110,50000.0,3.0555555555555554,40,package7989,START: unserved,nil
1980,2022-10-01 05:30:00,true,110,50000.0,3.0555555555555554,40,package12,END: generated,0,nil,00:00:00,05:30:00,330.0,0.0
1981,2022-10-01 05:30:10,true,110,50000.0,3.0555555555555554,40,package12,START: requestingDeliveryMode,nil
1981,2022-10-01 05:30:10,true,110,50000.0,3.0555555555555554,40,package12,END: requestingDeliveryMode,0,nil,05:30:10,05:30:10,0.0,0.0
1982,2022-10-01 05:30:20,true,110,50000.0,3.0555555555555554,40,package12,START: unserved,nil
2004,2022-10-01 05:34:00,true,110,50000.0,3.0555555555555554,40,package4002,END: generated,0,nil,00:00:00,05:34:00,334.0,0.0
2005,2022-10-01 05:34:10,true,110,50000.0,3.0555555555555554,40,package4002,START: requestingDeliveryMode,nil
2005,2022-10-01 05:34:10,true,110,50000.0,3.0555555555555554,40,package4002,END: requestingDeliveryMode,0,nil,05:34:10,05:34:10,0.0,0.0
2006,2022-10-01 05:34:20,true,110,50000.0,3.0555555555555554,40,package4002,START: firstmile,nil
2008,2022-10-01 05:34:40,true,110,50000.0,3.0555555555555554,40,package4002,END: firstmile,0,nil,05:34:20,05:34:40,0.3333333333333333,24.549940463294813
2009,2022-10-01 05:34:50,true,110,50000.0,3.0555555555555554,40,package4002,START: awaiting_car,awaiting car(11)
2009,2022-10-01 05:34:50,true,110,50000.0,3.0555555555555554,40,package4002,END: awaiting_car,0,nil,05:34:50,05:34:50,0.0,0.0
2010,2022-10-01 05:35:00,true,110,50000.0,3.0555555555555554,40,package4002,START: delivering_car,delivering car(11)
2012,2022-10-01 05:35:20,true,110,50000.0,3.0555555555555554,40,package4002,END: delivering_car,2,nil,05:35:00,05:35:20,0.3333333333333333,99.75712630481303
2013,2022-10-01 05:35:30,true,110,50000.0,3.0555555555555554,40,package4002,START: lastmile,nil
2016,2022-10-01 05:36:00,true,110,50000.0,3.0555555555555554,40,package7992,END: generated,0,nil,00:00:00,05:36:00,336.0,0.0
2017,2022-10-01 05:36:10,true,110,50000.0,3.0555555555555554,40,package7992,START: requestingDeliveryMode,nil
2017,2022-10-01 05:36:10,true,110,50000.0,3.0555555555555554,40,package7992,END: requestingDeliveryMode,0,nil,05:36:10,05:36:10,0.0,0.0
2018,2022-10-01 05:36:20,true,110,50000.0,3.0555555555555554,40,package7992,START: unserved,nil
2019,2022-10-01 05:36:30,true,110,50000.0,3.0555555555555554,40,package4002,END: lastmile,2,nil,05:35:30,05:36:30,1.0,29.52443226847673
2020,2022-10-01 05:36:40,true,110,50000.0,3.0555555555555554,40,package4002,START: delivered,nil
2028,2022-10-01 05:38:00,true,110,50000.0,3.0555555555555554,40,package15,END: generated,0,nil,00:00:00,05:38:00,338.0,0.0
2028,2022-10-01 05:38:00,true,110,50000.0,3.0555555555555554,40,package4005,END: generated,0,nil,00:00:00,05:38:00,338.0,0.0
2028,2022-10-01 05:38:00,true,110,50000.0,3.0555555555555554,40,package7995,END: generated,0,nil,00:00:00,05:38:00,338.0,0.0
2029,2022-10-01 05:38:10,true,110,50000.0,3.0555555555555554,40,package15,START: requestingDeliveryMode,nil
2029,2022-10-01 05:38:10,true,110,50000.0,3.0555555555555554,40,package15,END: requestingDeliveryMode,0,nil,05:38:10,05:38:10,0.0,0.0
2029,2022-10-01 05:38:10,true,110,50000.0,3.0555555555555554,40,package4005,START: requestingDeliveryMode,nil
2029,2022-10-01 05:38:10,true,110,50000.0,3.0555555555555554,40,package4005,END: requestingDeliveryMode,0,nil,05:38:10,05:38:10,0.0,0.0
2029,2022-10-01 05:38:10,true,110,50000.0,3.0555555555555554,40,package7995,START: requestingDeliveryMode,nil
2029,2022-10-01 05:38:10,true,110,50000.0,3.0555555555555554,40,package7995,END: requestingDeliveryMode,0,nil,05:38:10,05:38:10,0.0,0.0
2030,2022-10-01 05:38:20,true,110,50000.0,3.0555555555555554,40,package15,START: unserved,nil
2030,2022-10-01 05:38:20,true,110,50000.0,3.0555555555555554,40,package4005,START: unserved,nil
2030,2022-10-01 05:38:20,true,110,50000.0,3.0555555555555554,40,package7995,START: unserved,nil
