Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
2702,2022-10-01 07:30:20,true,40,package141,false,0,0.0,nil,07:30:20,450.3333333333333,-71.09046999986747,42.36164899972673,-71.1220850353213,42.38860181267255,0.0
2702,2022-10-01 07:30:20,true,40,package4131,false,0,0.0,nil,07:30:20,450.3333333333333,-71.09046999986747,42.36164899972673,-71.12039239987199,42.378816299738794,0.0
2702,2022-10-01 07:30:20,true,40,package8121,false,0,0.0,nil,07:30:20,450.3333333333333,-71.08233299986635,42.365243999723255,-71.11089029987033,42.359209899735184,0.0
2708,2022-10-01 07:31:20,true,40,package144,false,0,0.0,nil,07:31:20,451.3333333333333,-71.10536599986966,42.36606899973284,-71.10904386752829,42.35895331992713,0.0
2708,2022-10-01 07:31:20,true,40,package4134,false,0,0.0,nil,07:31:20,451.3333333333333,-71.10536599986966,42.36606899973284,-71.10849876093991,42.359068306488716,0.0
2714,2022-10-01 07:32:20,true,40,package147,false,0,0.0,nil,07:32:20,452.3333333333333,-71.09387999986798,42.362781999728135,-71.08137899986622,42.36436899972288,0.0
2714,2022-10-01 07:32:20,true,40,package4137,false,0,0.0,nil,07:32:20,452.3333333333333,-71.10071599986897,42.36333499973095,-71.1024368980891,42.36332159082532,0.0
2714,2022-10-01 07:32:20,true,40,package8124,false,0,0.0,nil,07:32:20,452.3333333333333,-71.09784299986865,42.367946999729725,-71.09776564429808,42.368293264260004,0.0
2720,2022-10-01 07:33:20,true,40,package8127,false,0,0.0,nil,07:33:20,453.3333333333333,-71.09046999986747,42.36164899972673,-71.07877301602849,42.37299739661152,0.0
2726,2022-10-01 07:34:20,true,40,package150,false,0,0.0,nil,07:34:20,454.3333333333333,-71.10726099987012,42.37794599973347,-71.11049484948045,42.37804541717407,0.0
2726,2022-10-01 07:34:20,true,40,package153,false,0,0.0,nil,07:34:20,454.3333333333333,-71.0949849998683,42.37338699972846,-71.11266799987054,42.355947999735946,0.0
