Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Event,Mode,Message,Start Time,End Time,Duration (min),Distance (m)
2221,2022-10-01 06:10:10,true,40,package33,START: requestingDeliveryMode,nil
2221,2022-10-01 06:10:10,true,40,package33,END: requestingDeliveryMode,0,nil,06:10:10,06:10:10,0.0,0.0
2222,2022-10-01 06:10:20,true,40,package33,START: unserved,nil
2226,2022-10-01 06:11:00,true,40,package4023,END: generated,0,nil,00:00:00,06:11:00,371.0,0.0
2227,2022-10-01 06:11:10,true,40,package4023,START: requestingDeliveryMode,nil
2227,2022-10-01 06:11:10,true,40,package4023,END: requestingDeliveryMode,0,nil,06:11:10,06:11:10,0.0,0.0
2228,2022-10-01 06:11:20,true,40,package4023,START: unserved,nil
2250,2022-10-01 06:15:00,true,40,package8013,END: generated,0,nil,00:00:00,06:15:00,375.0,0.0
2251,2022-10-01 06:15:10,true,40,package8013,START: requestingDeliveryMode,nil
2251,2022-10-01 06:15:10,true,40,package8013,END: requestingDeliveryMode,0,nil,06:15:10,06:15:10,0.0,0.0
2252,2022-10-01 06:15:20,true,40,package8013,START: unserved,nil
2274,2022-10-01 06:19:00,true,40,package36,END: generated,0,nil,00:00:00,06:19:00,379.0,0.0
2274,2022-10-01 06:19:00,true,40,package39,END: generated,0,nil,00:00:00,06:19:00,379.0,0.0
2274,2022-10-01 06:19:00,true,40,package4026,END: generated,0,nil,00:00:00,06:19:00,379.0,0.0
2274,2022-10-01 06:19:00,true,40,package8016,END: generated,0,nil,00:00:00,06:19:00,379.0,0.0
2275,2022-10-01 06:19:10,true,40,package36,START: requestingDeliveryMode,nil
2275,2022-10-01 06:19:10,true,40,package36,END: requestingDeliveryMode,0,nil,06:19:10,06:19:10,0.0,0.0
2275,2022-10-01 06:19:10,true,40,package39,START: requestingDeliveryMode,nil
2275,2022-10-01 06:19:10,true,40,package39,END: requestingDeliveryMode,0,nil,06:19:10,06:19:10,0.0,0.0
2275,2022-10-01 06:19:10,true,40,package4026,START: requestingDeliveryMode,nil
2275,2022-10-01 06:19:10,true,40,package4026,END: requestingDeliveryMode,0,nil,06:19:10,06:19:10,0.0,0.0
2275,2022-10-01 06:19:10,true,40,package8016,START: requestingDeliveryMode,nil
2275,2022-10-01 06:19:10,true,40,package8016,END: requestingDeliveryMode,0,nil,06:19:10,06:19:10,0.0,0.0
2276,2022-10-01 06:19:20,true,40,package36,START: unserved,nil
2276,2022-10-01 06:19:20,true,40,package39,START: unserved,nil
2276,2022-10-01 06:19:20,true,40,package4026,START: unserved,nil
2276,2022-10-01 06:19:20,true,40,package8016,START: unserved,nil
2298,2022-10-01 06:23:00,true,40,package42,END: generated,0,nil,00:00:00,06:23:00,383.0,0.0
2298,2022-10-01 06:23:00,true,40,package4029,END: generated,0,nil,00:00:00,06:23:00,383.0,0.0
2298,2022-10-01 06:23:00,true,40,package8019,END: generated,0,nil,00:00:00,06:23:00,383.0,0.0
2299,2022-10-01 06:23:10,true,40,package42,START: requestingDeliveryMode,nil
2299,2022-10-01 06:23:10,true,40,package42,END: requestingDeliveryMode,0,nil,06:23:10,06:23:10,0.0,0.0
