Cycle,Time,Traditional Scenario,Num Autonomous Bikes,Autonomous Bikes Battery Life,AB PickUp Speed,Num Cars,Agent,Trip Served,Mode,Wait Time (min),Departure Time,Arrival Time,Duration (min),Origin [lat],Origin [lon],Destination [lat],Destination [lon],Distance (m)
2324,2022-10-01 06:27:20,false,110,50000.0,3.0555555555555554,40,package8022,true,1,1.1666666666666667,06:26:20,06:27:20,1.0,-71.1114,42.36962799999989,-71.1131418,42.36995179999989,159.84190852409165
2342,2022-10-01 06:30:20,false,110,50000.0,3.0555555555555554,40,package4035,true,1,1.1666666666666667,06:28:20,06:30:20,2.0,-71.1114,42.36962799999989,-71.11003869562896,42.37038224387264,245.90679709467656
2344,2022-10-01 06:30:40,false,110,50000.0,3.0555555555555554,40,package45,true,1,2.8333333333333335,06:28:00,06:30:40,2.6666666666666665,-71.118965,42.373370999999885,-71.117438,42.371218999999876,317.9138901440269
2345,2022-10-01 06:30:50,false,110,50000.0,3.0555555555555554,40,package4032,true,1,4.5,06:29:40,06:30:50,1.1666666666666667,-71.077794,42.36981699999988,-71.0773,42.37058199999989,169.22834348966197
2358,2022-10-01 06:33:00,false,110,50000.0,3.0555555555555554,40,package4029,true,1,5.0,06:28:10,06:33:00,4.833333333333333,-71.071562,42.367712999999895,-71.07850063191331,42.366242412403096,762.0855850459593
2376,2022-10-01 06:36:00,false,110,50000.0,3.0555555555555554,40,package8013,true,1,2.5,06:17:40,06:36:00,18.333333333333332,-71.075408,42.37195999999987,-71.104452,42.36563099999987,2523.480107715951
2387,2022-10-01 06:37:50,false,110,50000.0,3.0555555555555554,40,package39,true,1,1.6666666666666667,06:20:50,06:37:50,17.0,-71.118965,42.373370999999885,-71.0981302081539,42.36959949085267,1877.1720766570465
2416,2022-10-01 06:42:40,false,110,50000.0,3.0555555555555554,40,package42,true,1,1.8333333333333333,06:25:00,06:42:40,17.666666666666668,-71.118965,42.373370999999885,-71.15206778509447,42.37703553560737,2831.921075556365
2417,2022-10-01 06:42:50,false,110,50000.0,3.0555555555555554,40,package8028,true,1,3.8333333333333335,06:36:00,06:42:50,6.833333333333333,-71.149096,42.37545099999986,-71.14984064934278,42.37846105462302,568.3909943328716
2419,2022-10-01 06:43:10,false,110,50000.0,3.0555555555555554,40,package4041,true,1,2.0,06:36:10,06:43:10,7.0,-71.1114,42.36962799999989,-71.10385713609077,42.37289438187524,830.7378234986796
2419,2022-10-01 06:43:10,false,110,50000.0,3.0555555555555554,40,package8025,true,1,5.5,06:33:40,06:43:10,9.5,-71.118965,42.373370999999885,-71.10275899999998,42.36517799999989,1633.4193317290203
2424,2022-10-01 06:44:00,false,110,50000.0,3.0555555555555554,40,package4026,true,1,5.333333333333333,06:24:30,06:44:00,19.5,-71.11823199999998,42.38838799999988,-71.09647904322009,42.366674525000334,3064.8130947819905
2426,2022-10-01 06:44:20,false,110,50000.0,3.0555555555555554,40,package8031,true,1,6.0,06:41:10,06:44:20,3.1666666666666665,-71.087304,42.362206999999884,-71.090546,42.36188899999986,376.8574696483812
